               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095268,            0.019587,                   0,           0.0025333,             0.29688,           0.0027774,          0.00051846,            0.070757,            0.013587,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.074459,             0.01394,                   0,             0.23118,             0.55469,             0.21289,             0.04652,            0.064621,           0.0084796,                   0,            0.040617,            0.006574,            0.006574
                   2,            0.068709,            0.010818,                   0,             0.22954,             0.51953,             0.20941,            0.043473,            0.060533,           0.0069001,                   0,            0.010573,           0.0098635,           0.0098635
                   3,            0.066363,            0.009682,                   0,             0.13902,             0.69141,             0.13923,            0.023713,            0.052991,           0.0095555,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.060507,           0.0090999,                   0,             0.43629,             0.84375,             0.50323,             0.15601,            0.045548,           0.0088836,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.051022,           0.0087219,                   0,             0.75965,             0.90234,              0.8369,             0.32195,            0.036003,           0.0062738,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.050932,           0.0083191,                   0,             0.87005,             0.88922,             0.84068,             0.23665,            0.042286,           0.0072721,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.047852,           0.0080932,                   0,             0.68309,             0.90234,             0.78555,             0.30027,            0.037145,           0.0060188,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.042766,           0.0079912,                   0,              0.9533,             0.95703,             0.95442,             0.39137,            0.028966,           0.0062262,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.041473,           0.0075054,                   0,              0.9496,             0.95672,              0.9649,             0.36471,            0.030656,            0.005792,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.041961,           0.0070176,                   0,             0.91039,             0.89453,             0.91346,             0.29694,            0.034512,            0.005446,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.038156,           0.0070577,                   0,              0.9796,             0.98047,             0.97893,             0.42121,            0.028216,             0.00512,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.038278,           0.0069673,                   0,             0.98996,             0.99219,             0.99484,             0.49437,             0.03103,           0.0049445,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.03896,           0.0070388,                   0,              0.8695,             0.88488,             0.87005,             0.28993,            0.029634,           0.0052872,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.033845,           0.0067932,                   0,             0.98366,             0.98438,              0.9843,             0.52926,            0.025808,           0.0046287,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.03591,           0.0068842,                   0,             0.98446,             0.98438,              0.9918,             0.53196,            0.022774,           0.0047325,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.035048,           0.0067322,                   0,              0.9725,             0.96691,             0.97135,             0.46784,             0.02754,           0.0045915,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036005,           0.0065366,                   0,             0.99215,             0.99219,             0.99414,             0.51062,            0.023666,           0.0045755,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.03462,           0.0064863,                   0,             0.94885,             0.94922,              0.9543,              0.4162,            0.026117,           0.0049312,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.033886,           0.0061345,                   0,             0.97959,             0.98047,             0.99088,             0.54861,            0.021252,           0.0045426,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.032857,           0.0062051,                   0,             0.98824,             0.98828,             0.99359,             0.50651,             0.02161,           0.0045066,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034616,           0.0063302,                   0,             0.98345,             0.98438,             0.98476,             0.51719,            0.025221,           0.0044904,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.032819,           0.0059882,                   0,             0.99071,             0.98828,             0.98961,             0.45651,            0.024088,           0.0046272,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033725,           0.0064007,                   0,             0.96454,             0.96875,             0.97171,             0.37138,            0.027585,           0.0052902,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.032875,           0.0060762,                   0,             0.95311,             0.95285,             0.95714,             0.32668,            0.029844,           0.0049153,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.032379,           0.0062055,                   0,             0.98405,             0.98438,             0.99123,             0.53608,            0.023709,            0.004342,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.032502,           0.0060192,                   0,             0.98414,             0.98438,             0.99275,             0.49233,            0.022435,           0.0046045,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.033823,           0.0061329,                   0,             0.98789,             0.98828,             0.99362,              0.4922,            0.022254,           0.0044177,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.03223,           0.0059128,                   0,              0.9762,             0.97656,             0.98918,             0.42814,             0.02298,           0.0048391,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.029222,           0.0058576,                   0,             0.98778,             0.98828,             0.99361,             0.56587,            0.021942,           0.0045565,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.032377,           0.0059623,                   0,             0.98375,             0.98438,             0.99216,             0.50006,            0.022599,           0.0045177,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.029799,           0.0059501,                   0,             0.98547,             0.98047,             0.98347,             0.55473,            0.020218,           0.0043643,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.028015,           0.0058793,                   0,              0.9915,             0.99219,             0.99453,             0.50712,            0.021937,           0.0044933,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030412,           0.0056148,                   0,             0.98404,             0.98438,             0.99284,             0.52244,            0.020955,           0.0046232,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.029413,           0.0057386,                   0,             0.98776,             0.98828,             0.99417,             0.54297,             0.02257,             0.00448,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030558,           0.0056778,                   0,             0.98359,             0.98438,             0.99327,              0.5201,            0.020565,            0.004474,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.031674,           0.0059083,                   0,             0.98388,             0.98438,             0.99227,             0.54197,            0.021016,           0.0044832,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.032076,           0.0059536,                   0,             0.99171,             0.99219,             0.99413,             0.52435,            0.020522,           0.0043674,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031263,           0.0059733,                   0,             0.98777,             0.98828,             0.99386,             0.50979,            0.023662,           0.0044335,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.031499,           0.0058283,                   0,             0.99143,             0.99219,             0.99262,             0.56569,            0.019875,            0.004288,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030359,           0.0056749,                   0,             0.99142,             0.99219,             0.99429,             0.50328,            0.020842,           0.0043513,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031386,           0.0056979,                   0,             0.98456,             0.98438,             0.99332,             0.47907,             0.02064,           0.0044662,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.029475,           0.0057807,                   0,             0.98767,             0.98828,             0.99186,             0.52644,            0.020901,           0.0044996,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.027879,           0.0058679,                   0,             0.98402,             0.98438,             0.99298,             0.54683,            0.020393,           0.0042671,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.029259,            0.005737,                   0,             0.98783,             0.98828,             0.99388,             0.56328,            0.020168,           0.0043505,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.030624,           0.0058737,                   0,             0.99573,             0.99609,               0.995,             0.55917,            0.021241,            0.004403,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.028553,           0.0055644,                   0,             0.98473,             0.98438,             0.99373,             0.55864,            0.020467,           0.0043697,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.028587,           0.0058017,                   0,             0.99159,             0.99219,              0.9946,             0.54304,            0.020283,           0.0044101,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.029763,           0.0057026,                   0,             0.98369,             0.98438,             0.99364,             0.50351,            0.021039,           0.0044948,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.02742,           0.0056331,                   0,             0.97944,             0.98047,               0.992,              0.5092,            0.020637,           0.0044042,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028665,           0.0055039,                   0,             0.98777,             0.98828,             0.99291,             0.58304,            0.019932,           0.0043047,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.026899,           0.0057333,                   0,              0.9913,             0.99219,             0.99453,             0.53374,             0.02043,           0.0045309,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.028605,           0.0055151,                   0,              0.9918,             0.99219,             0.99473,             0.54354,             0.02048,           0.0043499,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02858,           0.0057166,                   0,             0.98317,             0.98438,             0.99226,             0.49854,            0.021969,           0.0044398,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.027908,           0.0055075,                   0,              0.9912,             0.99219,             0.99457,             0.57568,            0.019136,           0.0043116,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026468,           0.0055209,                   0,             0.99113,             0.99219,             0.99465,             0.54278,            0.020526,           0.0042719,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.028305,           0.0055874,                   0,             0.99166,             0.99219,             0.99469,             0.55538,            0.019819,           0.0042988,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.027846,           0.0055422,                   0,             0.98764,             0.98828,             0.99302,              0.5213,            0.020101,            0.004474,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.025916,           0.0055484,                   0,             0.98801,             0.98828,             0.99395,             0.57605,            0.019688,            0.004295,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.026168,           0.0057008,                   0,             0.99163,             0.99219,             0.99468,             0.57074,             0.01977,            0.004261,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.027647,            0.005669,                   0,             0.98777,             0.98828,             0.99391,             0.55633,            0.020534,           0.0044185,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.028711,           0.0055336,                   0,             0.99156,             0.99219,             0.99448,              0.5776,             0.01949,           0.0042649,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.029357,           0.0055155,                   0,             0.98788,             0.98828,             0.99395,             0.45964,            0.022612,           0.0047655,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.027379,           0.0053488,                   0,             0.98402,             0.98438,             0.98957,             0.47969,            0.022207,           0.0046233,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026119,           0.0054939,                   0,             0.98012,             0.98047,             0.99224,             0.48832,            0.022749,           0.0045136,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.02828,            0.005616,                   0,             0.98791,             0.98828,             0.99388,             0.51026,            0.021422,           0.0044188,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.027381,           0.0054557,                   0,              0.9882,             0.98828,             0.98639,             0.55866,            0.020393,           0.0042725,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.029144,           0.0054288,                   0,             0.98394,             0.98438,             0.98943,             0.49925,            0.021689,           0.0044708,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.028558,            0.005593,                   0,             0.99175,             0.99219,             0.99492,             0.52348,            0.020893,            0.004499,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.026061,           0.0056169,                   0,             0.98775,             0.98828,              0.9883,             0.57402,            0.019656,           0.0042293,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.026914,            0.005576,                   0,             0.99187,             0.99219,             0.99449,             0.56246,            0.018975,           0.0042316,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.027807,            0.005504,                   0,             0.99211,             0.99219,             0.99484,             0.57489,            0.019056,           0.0042281,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.027699,           0.0054525,                   0,               0.992,             0.99219,             0.99469,             0.50334,            0.020616,           0.0045847,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.028342,           0.0056864,                   0,             0.99162,             0.99219,             0.99473,             0.56624,            0.019802,           0.0043343,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.027068,           0.0054441,                   0,             0.99173,             0.99219,             0.99496,             0.56787,            0.019494,           0.0042094,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026702,           0.0054437,                   0,             0.99589,             0.99609,               0.995,             0.56124,            0.019947,           0.0043014,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.027135,           0.0054978,                   0,              0.9881,             0.98828,             0.99164,             0.57522,            0.018587,           0.0041505,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.027226,           0.0054869,                   0,             0.98801,             0.98828,             0.99429,             0.55089,            0.020562,           0.0043947,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.025214,           0.0054099,                   0,             0.99195,             0.99219,             0.99469,             0.55551,            0.019624,           0.0041927,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.027565,           0.0055818,                   0,             0.99178,             0.99219,             0.99473,             0.55077,            0.019377,           0.0042668,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.026875,           0.0054717,                   0,             0.98804,             0.98828,             0.99449,             0.55644,             0.01963,           0.0043524,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025973,            0.005608,                   0,             0.99171,             0.99219,             0.99445,             0.55624,            0.020329,           0.0043278,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.024695,           0.0054931,                   0,             0.98804,             0.98828,             0.99336,             0.55571,            0.019608,            0.004344,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.024277,           0.0052961,                   0,             0.98795,             0.98828,             0.99381,             0.52167,            0.020482,           0.0043497,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.026886,           0.0052901,                   0,             0.98963,             0.98828,             0.99449,             0.50997,            0.021736,           0.0045901,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.026473,           0.0056285,                   0,             0.99165,             0.99219,             0.99444,             0.56828,            0.018861,           0.0042931,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.026395,           0.0053602,                   0,             0.98773,             0.98828,             0.98624,             0.57521,            0.018994,           0.0042818,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.02644,           0.0054466,                   0,             0.98374,             0.98438,             0.99426,             0.53031,            0.020248,           0.0043464,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.027398,           0.0055128,                   0,             0.98793,             0.98828,              0.9941,             0.55727,            0.019487,           0.0042861,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.02463,           0.0053465,                   0,             0.98788,             0.98828,             0.99434,             0.55908,            0.018956,            0.004317,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.026508,            0.005444,                   0,             0.98773,             0.98828,              0.9943,              0.5529,            0.019397,           0.0043096,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.025808,           0.0054519,                   0,              0.9923,             0.99219,             0.99488,             0.55478,            0.019325,           0.0043562,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.024747,           0.0053888,                   0,             0.99567,             0.99609,               0.995,             0.55737,            0.019184,           0.0043152,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.025981,           0.0053302,                   0,             0.99183,             0.99219,             0.99476,             0.55785,            0.019606,           0.0043716,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.025835,           0.0053391,                   0,              0.9957,             0.99609,               0.995,             0.58162,            0.019078,           0.0041928,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.025914,           0.0053218,                   0,             0.99575,             0.99609,             0.99496,             0.51104,             0.02088,           0.0043782,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.026051,           0.0053362,                   0,               0.992,             0.99219,             0.99449,             0.50891,            0.021017,           0.0045382,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026246,           0.0055752,                   0,             0.99586,             0.99609,             0.99496,             0.56057,            0.018838,           0.0042445,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.026966,           0.0052746,                   0,             0.99193,             0.99219,             0.99476,             0.53108,            0.020686,           0.0044169,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.025634,           0.0054102,                   0,             0.99179,             0.99219,              0.9948,             0.56731,            0.019165,           0.0042926,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.025699,           0.0053403,                   0,             0.99182,             0.99219,             0.99469,             0.57634,             0.01879,           0.0042181,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.025951,           0.0052879,                   0,             0.98792,             0.98828,             0.99393,             0.56411,            0.019273,           0.0043352,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.025119,           0.0055014,                   0,             0.98789,             0.98828,             0.98787,             0.52703,            0.020022,           0.0044184,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.026155,           0.0052561,                   0,             0.99176,             0.99219,             0.99456,             0.54625,            0.020146,           0.0043604,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.026487,            0.005314,                   0,             0.98786,             0.98828,             0.99355,             0.56943,            0.019084,           0.0042785,                   0,            0.006601,            0.006601,            0.006601
                 105,              0.0269,           0.0053825,                   0,             0.98814,             0.98828,             0.99246,             0.54608,            0.019788,           0.0043033,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.027184,           0.0054319,                   0,             0.99181,             0.99219,             0.99476,             0.51534,            0.020732,           0.0045458,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.026646,           0.0052837,                   0,              0.9958,             0.99609,             0.99496,             0.56194,            0.019849,           0.0043201,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.026436,           0.0051995,                   0,             0.98795,             0.98828,             0.98708,             0.54526,            0.020008,           0.0043332,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.025204,           0.0053639,                   0,              0.9918,             0.99219,              0.9948,             0.51077,            0.021702,           0.0045115,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.024118,           0.0052145,                   0,             0.98786,             0.98828,             0.99339,             0.56138,            0.018918,           0.0042879,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.025947,           0.0053562,                   0,             0.99192,             0.99219,             0.99476,              0.5793,            0.018758,           0.0042356,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.025225,           0.0053049,                   0,             0.99302,             0.99219,             0.99488,             0.57625,            0.018342,           0.0041806,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.025758,           0.0052416,                   0,             0.99573,             0.99609,             0.99492,             0.57916,             0.01878,            0.004202,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.025352,           0.0052257,                   0,             0.99198,             0.99219,             0.99476,             0.57768,            0.018617,           0.0042249,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.025179,             0.00529,                   0,             0.99201,             0.99219,             0.99472,             0.55239,            0.019897,           0.0043538,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.025516,           0.0053708,                   0,             0.98803,             0.98828,             0.99433,             0.57335,            0.019042,           0.0042682,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.025677,           0.0055144,                   0,             0.98775,             0.98828,             0.99457,             0.56296,             0.01939,           0.0042712,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.025378,            0.005434,                   0,             0.98807,             0.98828,             0.98801,             0.55211,            0.019241,           0.0042532,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.023975,           0.0054834,                   0,             0.98449,             0.99156,             0.99437,             0.52119,            0.021211,           0.0044379,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.025061,           0.0053375,                   0,             0.98802,             0.98828,             0.99441,              0.5696,            0.019066,            0.004233,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.02627,           0.0053278,                   0,              0.9881,             0.98828,             0.99433,             0.55673,            0.019174,           0.0042914,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.024627,           0.0052207,                   0,             0.99192,             0.99219,             0.99453,             0.52889,            0.020454,           0.0042711,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.024413,            0.005411,                   0,             0.98799,             0.98828,             0.99425,             0.55444,            0.019875,           0.0043421,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.026855,            0.005207,                   0,             0.98405,             0.98438,             0.98624,             0.55111,            0.020122,           0.0043011,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.025154,           0.0053464,                   0,             0.98792,             0.98828,             0.99442,             0.54751,            0.020035,            0.004223,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.024414,           0.0053213,                   0,             0.98405,             0.98438,             0.99401,             0.55719,            0.019217,           0.0042766,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.024321,           0.0052862,                   0,             0.99185,             0.99219,             0.99496,             0.54398,            0.020212,           0.0043394,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.024726,           0.0052018,                   0,             0.99575,             0.99609,             0.99496,             0.51958,            0.020551,           0.0044805,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.024772,           0.0052709,                   0,             0.99571,             0.99609,             0.99496,             0.51848,            0.021554,           0.0044805,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.024248,           0.0053321,                   0,             0.99183,             0.99219,             0.99452,             0.57846,            0.018717,            0.004131,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.023037,           0.0051478,                   0,             0.98961,             0.98828,              0.9881,             0.58701,            0.018582,            0.004145,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.024849,           0.0052773,                   0,             0.99165,             0.99219,             0.99444,             0.56471,            0.019874,           0.0042596,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.023867,           0.0052017,                   0,             0.98401,             0.98047,             0.98599,             0.56282,            0.019394,           0.0042333,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.023862,           0.0052298,                   0,             0.99189,             0.99219,             0.99476,             0.52791,            0.020644,           0.0043737,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.025351,           0.0054662,                   0,             0.99187,             0.99219,              0.9948,             0.55403,             0.01986,           0.0042854,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.024856,           0.0053687,                   0,             0.99193,             0.99219,             0.99444,             0.53662,            0.020683,           0.0043192,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.024739,           0.0050439,                   0,               0.988,             0.98828,             0.99414,             0.55224,            0.020126,           0.0042978,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.025133,           0.0052286,                   0,             0.99187,             0.99219,             0.99456,             0.57143,            0.019263,           0.0041617,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.024584,           0.0053917,                   0,             0.98017,             0.98047,             0.99209,             0.49498,            0.021143,           0.0045443,                   0,            0.005446,            0.005446,            0.005446
