               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13792,             0.03041,                   0,                   0,                   0,                   0,                   0,            0.098026,            0.016987,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.13093,            0.018468,                   0,                   0,                   0,                   0,                   0,            0.094239,            0.010384,                   0,            0.079292,           0.0022924,           0.0022924
                   2,             0.12452,            0.012712,                   0,                   0,                   0,                   0,                   0,            0.088771,           0.0080404,                   0,            0.068477,           0.0034769,           0.0034769
                   3,             0.10967,            0.011736,                   0,             0.16096,             0.12109,            0.043593,           0.0065338,             0.08328,           0.0077953,                   0,            0.057653,           0.0046535,           0.0046535
                   4,             0.10767,            0.011193,                   0,           0.0045027,           0.0039062,          0.00032136,           4.936e-05,            0.085239,           0.0061445,                   0,            0.046822,           0.0058221,           0.0058221
                   5,             0.10357,            0.009451,                   0,             0.28098,             0.32422,             0.18765,            0.030916,            0.065155,           0.0077429,                   0,            0.035983,           0.0069829,           0.0069829
                   6,            0.094601,            0.010086,                   0,             0.12379,             0.19531,            0.041748,           0.0063548,            0.069691,           0.0065475,                   0,            0.025136,           0.0081357,           0.0081357
                   7,             0.10614,           0.0097747,                   0,            0.057881,            0.089844,            0.011052,           0.0014014,            0.069254,            0.025651,                   0,            0.014281,           0.0092806,           0.0092806
                   8,            0.075381,            0.010254,                   0,             0.26966,             0.60938,             0.27637,            0.058517,            0.064616,            0.028892,                   0,            0.009736,            0.009736,            0.009736
                   9,             0.07171,           0.0095628,                   0,             0.12235,             0.94141,             0.23218,            0.078835,              0.0644,             0.12305,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.071558,           0.0093934,                   0,             0.14883,             0.62891,             0.15835,            0.036087,            0.057424,            0.020755,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.064832,           0.0093343,                   0,                 0.3,             0.87891,             0.42548,             0.13823,            0.050222,             0.11984,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.060147,           0.0090243,                   0,             0.47043,             0.71875,             0.51437,              0.1535,            0.041176,           0.0072956,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.057245,           0.0088934,                   0,             0.46963,             0.76096,             0.62633,             0.20656,             0.04155,            0.023252,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.059188,           0.0087038,                   0,             0.20586,             0.65919,             0.24473,            0.074574,            0.054689,             0.34714,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.054314,            0.008818,                   0,             0.51117,             0.91016,             0.57191,             0.23977,            0.033079,            0.013795,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.052247,           0.0083912,                   0,             0.47383,             0.92514,             0.50448,             0.20399,            0.032975,            0.015824,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.055229,           0.0082163,                   0,             0.88283,             0.94922,             0.92893,             0.39984,            0.034737,           0.0064494,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.049633,           0.0077228,                   0,             0.68629,             0.94854,             0.74424,              0.2917,            0.027884,           0.0080616,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.051005,           0.0077112,                   0,             0.93325,             0.96484,             0.95579,             0.44771,            0.033248,           0.0081413,                   0,            0.009406,            0.009406,            0.009406
                  20,              0.0478,           0.0077606,                   0,             0.88698,             0.89844,             0.86698,             0.28128,            0.035581,            0.015919,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.05056,           0.0073834,                   0,             0.92553,             0.94141,             0.91774,             0.35965,            0.034372,            0.035041,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.048671,           0.0077728,                   0,             0.39761,             0.74255,             0.49257,             0.17591,            0.037448,             0.00629,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.044011,           0.0075183,                   0,             0.42364,             0.88281,             0.57202,             0.21876,            0.033433,            0.075268,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.045629,            0.007372,                   0,             0.97142,             0.96875,             0.97575,             0.44088,            0.026466,           0.0050442,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.045439,           0.0070261,                   0,             0.41111,             0.65447,             0.49984,             0.14816,            0.041129,           0.0086571,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.048293,           0.0073238,                   0,             0.98705,             0.98438,              0.9895,             0.50204,            0.024922,           0.0050175,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.045199,           0.0068658,                   0,              0.9774,             0.98047,             0.98253,              0.4918,            0.023327,           0.0060492,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.036865,           0.0068047,                   0,             0.91731,             0.91797,             0.90257,             0.34348,            0.027038,           0.0049747,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.047118,           0.0069868,                   0,             0.98722,             0.98438,               0.983,             0.50794,            0.023386,           0.0048519,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.042937,           0.0066212,                   0,             0.72809,             0.72656,             0.72129,             0.22581,             0.03518,           0.0055114,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.045692,           0.0067249,                   0,              0.9788,             0.97656,             0.98112,             0.49314,            0.027421,            0.018722,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.041534,           0.0066753,                   0,             0.90892,             0.90625,             0.91614,             0.33777,            0.030441,           0.0052025,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.038059,           0.0063698,                   0,             0.80294,              0.7958,             0.78079,             0.24947,            0.032444,           0.0052527,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.045563,           0.0066271,                   0,             0.97221,             0.97656,             0.98561,             0.42508,            0.025796,           0.0049304,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.039793,           0.0064692,                   0,              0.9796,             0.97656,             0.98439,             0.39348,            0.025723,           0.0050175,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.044917,           0.0067271,                   0,              0.9843,              0.9798,             0.98327,             0.45947,            0.022473,           0.0048113,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.041451,           0.0067001,                   0,             0.98746,             0.98828,             0.99137,             0.53303,            0.022181,           0.0055144,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.039911,           0.0063341,                   0,             0.89791,             0.89331,             0.89789,             0.29087,            0.030806,           0.0056573,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.040802,           0.0062364,                   0,             0.96855,             0.96484,             0.98203,             0.37946,            0.029511,           0.0051086,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.04084,           0.0063553,                   0,             0.98048,             0.98438,             0.98711,             0.42723,            0.025836,           0.0048411,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.036534,           0.0063457,                   0,             0.96404,             0.96484,             0.96119,             0.47848,            0.025921,           0.0067139,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.042019,           0.0065345,                   0,             0.97596,             0.97656,             0.98329,             0.41931,            0.022998,           0.0047786,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.038446,            0.006359,                   0,             0.99607,             0.99123,             0.99496,             0.53331,            0.020952,           0.0045199,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.039096,           0.0065484,                   0,             0.97378,             0.97266,              0.9716,             0.51132,             0.02621,           0.0059459,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.038774,           0.0063087,                   0,             0.98414,             0.98438,             0.98892,             0.40032,            0.024163,           0.0046535,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.036541,           0.0061304,                   0,             0.98417,             0.98047,               0.983,             0.48084,            0.022169,           0.0076948,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.036921,           0.0060877,                   0,              0.9718,             0.97266,             0.98468,             0.43095,             0.02294,           0.0046742,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.040971,           0.0060945,                   0,             0.98694,             0.98828,             0.98375,             0.53177,            0.020478,             0.02634,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.039127,            0.006088,                   0,             0.98822,             0.98828,             0.99361,             0.45274,            0.022774,           0.0048759,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.041064,           0.0061728,                   0,             0.97253,             0.96815,             0.95783,             0.48273,            0.023469,            0.004476,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.036493,            0.006112,                   0,             0.99159,             0.98828,             0.99419,             0.54993,            0.020968,           0.0044976,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.038507,           0.0058737,                   0,             0.99895,             0.98828,             0.99492,               0.501,            0.022856,           0.0049235,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.038897,           0.0059106,                   0,             0.99102,             0.98047,             0.98337,             0.54534,            0.021133,           0.0044224,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.037886,           0.0058356,                   0,             0.99022,             0.98438,             0.98571,             0.54183,            0.019831,           0.0060732,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.035102,            0.005937,                   0,             0.99041,             0.99219,             0.99492,             0.53201,            0.021957,           0.0062587,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.037393,           0.0062645,                   0,              0.9725,             0.96696,             0.97467,              0.3102,            0.029579,           0.0056409,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.03986,           0.0061173,                   0,             0.99084,             0.99219,              0.9948,             0.51743,            0.022873,           0.0046851,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.041071,           0.0061357,                   0,             0.98266,             0.98047,              0.9863,             0.47637,            0.022501,           0.0046256,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.038038,           0.0057058,                   0,             0.99343,             0.99219,             0.99496,             0.52083,            0.022178,           0.0045425,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.039685,           0.0058205,                   0,             0.97665,             0.97656,             0.98487,             0.43298,            0.022326,           0.0048306,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.036383,           0.0059746,                   0,             0.90827,             0.92188,             0.90493,             0.30379,            0.027461,           0.0056162,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.042631,           0.0061228,                   0,             0.98037,             0.97521,             0.97919,             0.40628,            0.023651,           0.0049593,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.036726,            0.005772,                   0,             0.97983,             0.98047,             0.98501,             0.49063,            0.022095,           0.0050554,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.036688,           0.0060232,                   0,             0.98419,             0.98438,             0.98498,             0.55476,            0.020735,           0.0053613,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.037257,           0.0060415,                   0,             0.99604,             0.98244,             0.98731,             0.53868,             0.02041,           0.0049665,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.037625,           0.0059299,                   0,             0.98817,             0.97889,             0.98331,             0.51959,            0.024455,           0.0073459,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.035079,            0.006053,                   0,             0.99533,             0.99609,               0.995,             0.55132,            0.020763,           0.0049973,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.039267,           0.0057922,                   0,             0.98359,             0.98047,             0.98079,             0.49498,            0.023701,           0.0056171,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.037613,           0.0058781,                   0,             0.96693,             0.96875,             0.97016,             0.42528,            0.025427,           0.0050336,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.041616,           0.0061809,                   0,             0.99143,             0.99219,             0.99457,             0.53901,            0.020979,            0.004652,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.03588,           0.0058055,                   0,             0.96785,             0.97266,             0.98077,             0.36213,            0.028935,           0.0055909,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.039026,           0.0059849,                   0,             0.98005,             0.98047,               0.981,              0.5373,            0.021709,           0.0046522,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.035733,           0.0059266,                   0,             0.98271,             0.98438,             0.98401,             0.55374,            0.021747,           0.0044113,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.03711,           0.0059826,                   0,             0.98431,                0.98,             0.98367,             0.51839,            0.022866,           0.0044438,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.035736,            0.005899,                   0,             0.98337,             0.98047,             0.98328,             0.51889,            0.022358,           0.0044419,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.037288,           0.0059192,                   0,             0.98683,             0.98438,             0.98354,             0.56172,            0.020467,           0.0043405,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.038115,           0.0057922,                   0,             0.98769,             0.98828,             0.99229,             0.55972,            0.020813,           0.0043644,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.038616,            0.005883,                   0,              0.9843,             0.97969,             0.97991,              0.5635,            0.020561,           0.0043934,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.03558,           0.0056234,                   0,              0.9842,             0.98438,             0.98444,             0.56258,            0.019421,           0.0043983,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.039672,           0.0056539,                   0,             0.98437,             0.98387,             0.99178,             0.44613,             0.02356,           0.0049726,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.033609,           0.0058124,                   0,             0.98364,             0.98438,             0.99124,             0.52592,            0.019966,             0.00469,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.037911,           0.0058155,                   0,             0.98029,             0.98047,             0.99126,               0.415,            0.025431,           0.0051422,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.032916,           0.0059028,                   0,              0.9639,             0.96484,             0.96568,             0.35844,            0.025176,            0.004737,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.034029,           0.0056642,                   0,             0.97952,             0.98047,             0.99057,             0.44635,            0.022365,           0.0046579,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.036882,           0.0058671,                   0,             0.97927,             0.98047,             0.98497,             0.45506,            0.021476,           0.0046731,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.033298,           0.0057303,                   0,             0.97893,             0.98047,             0.97701,             0.50157,            0.020458,           0.0045874,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.032914,           0.0057377,                   0,             0.97598,             0.97656,             0.98046,             0.38096,            0.027141,            0.005152,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.034494,           0.0055577,                   0,             0.99161,             0.99219,             0.99488,             0.53093,            0.021243,           0.0044673,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.03848,           0.0058214,                   0,             0.99206,             0.99219,             0.99433,             0.56877,            0.019676,           0.0043527,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.034982,           0.0055786,                   0,             0.98515,             0.98438,             0.98687,             0.48819,            0.021735,           0.0046261,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.034576,           0.0057782,                   0,             0.99145,             0.99219,             0.99298,             0.53868,            0.019811,           0.0044284,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.036651,           0.0058156,                   0,             0.98792,             0.98828,             0.99143,             0.52705,            0.020858,           0.0045654,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.033866,           0.0056438,                   0,             0.98309,             0.98438,             0.99336,             0.49437,            0.021568,           0.0047836,                   0,            0.006964,            0.006964,            0.006964
