               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067713,             0.01158,                   0,          6.2365e-05,           0.0039062,          3.4162e-05,          3.4162e-06,            0.093498,              1.0647,                   0,            0.070337,           0.0032959,           0.0032959
                   1,             0.05534,           0.0082051,                   0,             0.54918,            0.039062,            0.034091,           0.0055396,            0.091503,            0.016804,                   0,            0.040315,           0.0066073,           0.0066073
                   2,            0.051178,           0.0073841,                   0,             0.43226,             0.71484,             0.47321,             0.10464,            0.041422,            0.020339,                   0,            0.010271,           0.0098968,           0.0098968
                   3,            0.052368,           0.0071682,                   0,                   0,                   0,                   0,                   0,             0.08687,             0.19202,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.049209,           0.0071068,                   0,             0.90024,             0.95175,             0.94539,             0.43345,            0.030005,           0.0054022,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.042582,           0.0068843,                   0,              0.7297,             0.64453,             0.72618,             0.31235,            0.052261,            0.007686,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.043638,           0.0066188,                   0,             0.97111,             0.97656,             0.98309,             0.49141,            0.027539,           0.0050241,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.043862,           0.0066824,                   0,             0.92228,             0.92969,             0.91623,             0.41691,              0.0255,           0.0047208,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.040144,           0.0066199,                   0,             0.98231,             0.92188,             0.97019,             0.44549,            0.030613,           0.0052026,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.041473,            0.006486,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.038484,           0.0062773,                   0,             0.96413,             0.96875,             0.98351,             0.49555,             0.02515,           0.0049756,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.037948,           0.0063188,                   0,             0.94033,             0.94141,             0.94621,             0.42637,            0.024362,           0.0050036,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.041092,           0.0062153,                   0,             0.97891,             0.98047,             0.98116,             0.45912,            0.023574,           0.0053318,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.041683,           0.0064165,                   0,             0.97321,             0.97656,             0.98242,             0.46321,            0.024379,           0.0048002,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.036385,           0.0064192,                   0,             0.98228,             0.97656,             0.97995,             0.48814,            0.024589,           0.0045474,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.042889,           0.0064427,                   0,             0.97582,             0.97656,             0.98894,             0.52585,            0.022423,           0.0046775,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.038018,           0.0063918,                   0,             0.97971,             0.98047,             0.98326,             0.41293,            0.024415,              0.0053,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036929,           0.0061093,                   0,             0.92339,             0.89454,             0.93824,             0.46497,            0.039946,            0.004458,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038152,           0.0061864,                   0,              0.9797,             0.98047,             0.98093,             0.51797,            0.022994,           0.0044172,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035271,           0.0058664,                   0,             0.97582,             0.97656,             0.98192,             0.50022,             0.02251,           0.0048286,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.039446,           0.0058347,                   0,             0.97088,             0.96484,             0.98876,             0.50426,            0.022947,           0.0046363,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.038278,           0.0061477,                   0,             0.97991,             0.98047,             0.98357,             0.51233,            0.025258,           0.0046072,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.035248,           0.0060518,                   0,             0.97163,             0.97266,             0.97655,             0.48884,            0.022339,           0.0045403,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.039741,           0.0061354,                   0,             0.97593,             0.97656,             0.98399,             0.51072,            0.021886,           0.0043772,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.036391,           0.0060316,                   0,             0.99044,             0.99219,             0.99476,             0.53036,            0.021253,           0.0045131,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.038979,           0.0061494,                   0,             0.95865,             0.96484,             0.95522,             0.37343,              0.0264,           0.0060939,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.038363,           0.0059714,                   0,             0.96345,             0.96484,             0.97674,             0.45167,             0.02485,           0.0045679,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.039022,           0.0061428,                   0,             0.97605,             0.97656,             0.98357,             0.53359,            0.025382,           0.0045044,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.035673,           0.0059618,                   0,             0.97997,             0.98047,             0.98417,             0.54774,            0.021626,           0.0047098,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.033535,           0.0059598,                   0,             0.97999,             0.98047,             0.98205,             0.49424,            0.022568,            0.004454,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.035856,           0.0059669,                   0,             0.97572,             0.97656,              0.9749,             0.53237,            0.021853,            0.004356,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.033773,           0.0058908,                   0,             0.98742,             0.98828,              0.9933,             0.47576,            0.022451,           0.0045124,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.035155,           0.0061968,                   0,              0.9739,             0.97656,             0.98659,             0.47285,            0.022984,           0.0045632,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.036786,           0.0058516,                   0,             0.98328,             0.98438,             0.98918,             0.53596,            0.022316,           0.0043955,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.03277,            0.005913,                   0,             0.97655,             0.97593,             0.98235,             0.49942,            0.024308,           0.0046242,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.037052,           0.0058743,                   0,             0.98656,             0.98047,             0.99197,             0.51786,            0.021732,           0.0044894,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.036823,           0.0059611,                   0,             0.97951,             0.98047,             0.98407,             0.54283,            0.021176,           0.0043118,                   0,            0.008845,            0.008845,            0.008845
